ID,NAME,LAT,LONG,ELEVATION
1,w236728,23.573,72.813,113.000
3,w239728,23.885,72.813,163.000
5,w242728,24.198,72.813,278.000
7,w236731,23.573,73.125,224.000
9,w239731,23.885,73.125,131.000
11,w242731,24.198,73.125,303.000
13,w236734,23.573,73.438,270.000
15,w239734,23.885,73.438,362.000
17,w242734,24.198,73.438,553.000
19,w236738,23.573,73.750,208.000
21,w239738,23.885,73.750,212.000
23,w242738,24.198,73.750,362.000
