ID,NAME,LAT,LONG,ELEVATION
1,r236728,23.573,72.813,113.000
3,r239728,23.885,72.813,163.000
5,r242728,24.198,72.813,278.000
7,r236731,23.573,73.125,224.000
9,r239731,23.885,73.125,131.000
11,r242731,24.198,73.125,303.000
13,r236734,23.573,73.438,270.000
15,r239734,23.885,73.438,362.000
17,r242734,24.198,73.438,553.000
19,r236738,23.573,73.750,208.000
21,r239738,23.885,73.750,212.000
23,r242738,24.198,73.750,362.000
